Order_ID,Customer_Name,Age,Gender,Product,Quantity,Price,Order_Date,City,Total_Amount
1001,Meena,26.0,female,Headphones,2,22333,2023-01-01,Hyderabad,44666
1002,Arjun,46.0,female,Phone,2,38650,2023-01-02,Delhi,77300
1003,Kiran,56.0,female,Laptop,3,33674,2023-01-03,Chennai,101022
1004,Arjun,52.0,female,Phone,1,34854,2023-01-04,Bangalore,34854
1005,Arjun,46.0,male,Tablet,1,45271,2023-01-05,Mumbai,45271
1006,Ravi,33.0,male,Phone,2,7152,2023-01-06,Mumbai,14304
1007,Kiran,33.0,male,Phone,1,37518,2023-01-07,Hyderabad,37518
1010,Arjun,50.0,female,Laptop,3,24289,2023-01-10,Chennai,72867
1011,Meena,53.0,male,Phone,1,62,2023-01-11,Hyderabad,62
1014,Arjun,48.0,female,Headphones,2,5229,2023-01-14,Bangalore,10458
1016,Meena,13.0,female,Laptop,1,46915,2023-01-16,Hyderabad,46915
1018,Priya,47.0,male,Headphones,4,38056,2023-01-18,Bangalore,152224
1019,Ravi,38.0,female,Laptop,2,2596,2023-01-19,Bangalore,5192
1020,Meena,26.0,female,Tablet,4,43243,2023-01-20,Hyderabad,172972
1021,Arjun,64.0,male,Tablet,3,5168,2023-01-21,Mumbai,15504
1022,Asha,26.0,female,Laptop,4,41563,2023-01-22,Delhi,166252
1023,Meena,62.0,female,Laptop,3,6561,2023-01-23,Delhi,19683
1024,Ravi,49.0,female,Headphones,2,7258,2023-01-24,Delhi,14516
1025,Priya,69.0,male,Headphones,2,15616,2023-01-25,Bangalore,31232
1026,Arjun,50.0,male,Phone,2,25734,2023-01-26,Bangalore,51468
1027,Meena,11.0,male,Headphones,2,5371,2023-01-27,Mumbai,10742
1028,Asha,33.0,male,Tablet,2,25069,2023-01-28,Delhi,50138
1029,Asha,18.0,male,Tablet,3,13369,2023-01-29,Delhi,40107
1030,Kiran,63.0,male,Laptop,3,11910,2023-01-30,Hyderabad,35730
1031,Kiran,64.0,female,Headphones,2,6943,2023-01-31,Bangalore,13886
1032,Ravi,5.0,male,Phone,4,11199,2023-02-01,Delhi,44796
1033,Meena,10.0,male,Tablet,1,14728,2023-02-02,Mumbai,14728
1036,Priya,64.0,male,Phone,1,14913,2023-02-05,Bangalore,14913
1038,Kiran,14.0,female,Tablet,2,18123,2023-02-07,Hyderabad,36246
1039,Meena,53.0,male,Phone,3,47447,2023-02-08,Mumbai,142341
1040,Meena,30.0,male,Tablet,1,33529,2023-02-09,Chennai,33529
1041,Asha,13.0,female,Laptop,1,9167,2023-02-10,Chennai,9167
1042,Kiran,61.0,female,Laptop,4,9554,2023-02-11,Bangalore,38216
1043,Arjun,13.0,male,Phone,3,16260,2023-02-12,Delhi,48780
1044,Kiran,14.0,male,Headphones,3,46045,2023-02-13,Bangalore,138135
1045,Arjun,65.0,female,Phone,3,2812,2023-02-14,Bangalore,8436
1046,Asha,46.0,female,Phone,3,27024,2023-02-15,Bangalore,81072
1047,Ravi,27.0,female,Headphones,1,49612,2023-02-16,Bangalore,49612
